Longitude, Latitude
35.2651666667,-88.0951666667
34.952,-87.3845
34.9933333333,-87.9853333333
34.0966666667,-87.4671666667
34.6068333333,-86.8401666667
34.8368333333,-87.396
34.9003333333,-87.1708333333
34.6673333333,-86.295
34.7963333333,-86.3213333333
33.3925,-86.3456666667
34.2758333333,-86.3681666667
34.278,-86.2736666667
34.5343333333,-86.6921666667
34.3923333333,-87.187
33.9726666667,-86.9005
33.9346666667,-88.2756666667
33.6581666667,-87.9233333333
33.5928333333,-87.6686666667
33.7676666667,-88.2261666667
32.346,-88.3455
32.4215,-88.3916666667
33.0416666667,-88.1063333333
32.8508333333,-88.2908333333
32.2138333333,-86.5695
33.6003333333,-86.9288333333
32.7358333333,-86.2371666667
32.4855,-85.7123333333
33.0108333333,-85.658
33.0988333333,-85.1883333333
32.1015,-85.5933333333
31.8271666667,-85.8536666667
32.2238333333,-86.7398333333
31.7581666667,-87.1406666667
32.2156666667,-87.4203333333
31.7183333333,-87.6075
32.6436666667,-88.1081666667
31.7733333333,-88.6833333333
31.3931666667,-88.0878333333
32.0173333333,-88.8666666667
30.3846666667,-88.8401666667
30.4651666667,-88.1948333333
31.2408333333,-88.3961666667
33.375,-88.093
34.2975,-87.3461666667
34.2313333333,-88.1551666667
35.0888333333,-87.263
33.9728333333,-88.1331666667
32.859,-88.4515
32.8335,-88.2115
33.1826666667,-87.119
33.739,-86.4361666667
31.58,-88.725
32.6263333333,-87.876
31.7313333333,-86.1336666667
32.3603333333,-86.4275
34.0678333333,-86.8841666667
34.6465,-87.7048333333
35.2596666667,-86.1266666667
33.6128333333,-88.1263333333
33.791,-88.1166666667
34.188,-86.5086666667
34.6291666667,-85.8271666667
32.9701666667,-87.6291666667
33.601,-86.586
33.1836666667,-86.0066666667
32.0341666667,-87.6688333333
31.7836666667,-86.4635
31.6536666667,-85.8001666667
31.7043333333,-88.813
30.4958333333,-87.8281666667
34.953,-88.3078333333
35.668,-87.9993333333
35.5736666667,-86.9796666667
35.2558333333,-87.8586666667
34.6705,-86.6906666667
35.04,-86.6223333333
33.7861666667,-86.2498333333
30.9573333333,-88.9716666667
30.5763333333,-88.0255
33.444,-86.758
32.9451666667,-86.298
35.0503333333,-88.3208333333
35.059,-86.947
35.2791666667,-86.728
34.4355,-89.0331666667
33.858,-87.7298333333
34.778,-86.8835
