Lat_Deg,Lat_Min,Lat_Sec,Lon_Deg,Lon_Min,Lon_Sec
34,50,25.91,-87,42,23.71
34,38,19.12,-87,12,11.07
34,48,11.6,-87,44,15.12
34,2,3.8,-87,4,24.03
34,12,24.41,-86,30,14.8
34,30,1.32,-86,41,42.76
34,52,2.02,-86,14,56.25
34,3,37.04,-85,41,36.7
34,17,30.78,-85,55,24.28
33,10,13.55,-85,55,25.74
33,38,38.55,-85,45,37.09
33,36,40.68,-85,45,31.42
33,50,42.06,-86,10,31.53
33,28,55.54,-86,36,35.22
33,41,17.36,-86,52,2.03
33,51,5.08,-87,35,41.54
33,32,7.49,-87,0,55.4
33,9,26.57,-87,0,40.12
33,29,17.06,-88,12,1.57
32,9,11.76,-88,20,0.73
32,16,9.29,-87,49,34.5
32,27,35.5,-87,13,53.38
32,47,4.05,-87,32,45.45
32,8,4.83,-86,17,17.17
32,42,54.02,-86,40,15.73
32,35,9.15,-86,12,2.23
32,18,11.13,-85,33,9.74
32,53,7.65,-85,15,24.48
32,9,56.93,-85,5,6.3
31,20,46.09,-85,35,0.6
31,0,49.63,-85,12,39.22
31,43,30.43,-85,48,56.39
31,35,10.49,-86,15,53.44
31,27,45.94,-86,36,49.22
31,0,43.1,-86,52,44.45
31,45,53.62,-87,12,54.49
31,6,40.4,-87,49,52
31,19,4.59,-87,6,59.27
31,39,22.04,-88,15,37
30,15,8.08,-88,6,44.41
30,16,11.91,-87,31,40.69
30,24,50.45,-87,40,43.77
33,8,14.5,-87,6,59.58
33,35,42.85,-86,42,38.77
34,9,4.88,-87,46,23.31
34,19,46.33,-86,28,47.78
33,9,49.37,-87,49,18.99
32,39,12.54,-88,9,18.09
32,48,2.01,-87,46,26.69
32,16,54.96,-86,43,24.14
32,45,59.34,-85,43,43.17
31,16,18.8,-88,25,18.5
31,45,52.58,-87,45,7.56
31,13,30.88,-86,7,1.02
31,39,42.62,-85,38,47.65
33,28,36.07,-86,15,38.05
34,25,13.79,-87,23,19.29
34,35,40.58,-85,32,35.6
33,17,19.77,-88,1,6.58
33,15,32.46,-87,26,41
33,43,28.28,-86,25,5.52
33,55,42.75,-85,28,21.63
32,25,33.21,-87,32,5.75
32,49,47.06,-86,7,28.16
32,27,44.02,-85,52,8.4
31,14,48.05,-87,4,36.13
31,25,22.02,-86,16,11.81
31,2,37.22,-85,24,24.01
30,56,46.26,-88,21,27.78
30,18,11.75,-87,44,5.69
34,48,9.18,-87,22,56.47
34,57,43.08,-87,9,50.96
34,59,35.42,-86,4,54.78
34,38,37.35,-87,12,39.52
34,12,28.23,-86,29,12.44
34,17,45.4,-85,55,42.34
33,39,8.17,-85,43,31.99
30,15,42.44,-88,6,52.3
30,30,4.58,-87,35,26.53
33,17,9.64,-86,19,26.48
32,54,2.71,-86,15,2.88
34,18,45.02,-88,4,15.25
34,58,5.54,-86,42,14.82
34,55,21.75,-85,52,51.68
33,41,45.13,-88,11,50.99
33,49,2.48,-87,9,34.79
33,52,54.68,-86,24,29.01
33,19,41.42,-86,9,58.86
33,10,44.55,-85,29,30.34
32,12,33.68,-87,26,23.67
32,29,2.86,-86,34,22.42
32,30,29.26,-85,15,41.31
31,17,51.29,-88,15,51.66
31,45,23.06,-87,38,54.69
31,55,43.43,-86,11,42.32
31,51,12.93,-85,11,34.31
30,29,16.84,-88,23,6.89
30,52,48.18,-87,42,43.74
33,49,57.45,-87,9,38.39
34,33,4.99,-86,45,56.9
33,35,50.32,-86,12,55.75
32,40,24.3,-87,14,30.37
31,22,41.3,-87,43,33.68
34,57,33.16,-87,9,52.61
64,25,25.71,-141,17,43.85
65,45,19.44,-144,20,26.99
65,17,20.96,-146,25,37.33
64,17,21.48,-146,25,36.73
65,34,3.38,-148,30,37.38
62,56,41.06,-141,36,39.34
62,48,34.51,-143,50,2.74
63,27,26.09,-143,48,3.74
62,35,28.45,-144,40,4.26
62,55,26.09,-141,33,4.05
63,7,41.62,-146,20,24.59
63,17,16.86,-147,38,18.04
63,24,3.32,-148,56,51.57
63,25,58.34,-150,18,7.48
60,16,51.6,-149,22,16.52
61,24,42.96,-149,52,41.47
60,28,26.27,-150,16,28.23
59,34,21.16,-151,20,17.94
58,20,48.44,-134,30,2.34
58,22,8.3,-134,35,11.96
55,36,10.68,-133,5,6.22
55,25,33.82,-131,45,49.53
59,15,51.17,-135,27,36.22
55,38,20.32,-132,45,11.13
60,28,23.24,-151,17,19.16
61,45,37.03,-148,44,1.83
61,47,34.63,-150,4,49
57,41,47.98,-152,34,0.48
64,54,17.91,-146,32,33.85
64,33,50.41,-147,42,20.41
64,53,49.33,-147,25,0.29
60,32,42.42,-145,42,54.49
61,7,9.84,-145,40,24.58
61,34,32.43,-144,40,46.54
61,49,38.56,-147,26,53.91
62,32,14.49,-145,30,55.78
61,48,32.98,-145,12,9.55
58,25,36.46,-155,7,2.5
64,30,39.65,-157,0,51.34
51,51,17.46,-176,36,2.94
64,5,49.84,-141,40,27.67
62,7,30.87,-145,38,30.66
62,35,51.28,-150,15,59.12
63,41,28.52,-149,34,31.79
60,35,42.24,-149,32,9.36
61,20,14.99,-149,15,36.29
60,44,0.94,-150,47,9.11
59,44,56.59,-149,25,1.03
56,49,49.08,-132,55,17.46
57,3,25.1,-135,20,8.9
55,41,14.53,-132,30,16.68
56,24,9.21,-132,21,32.04
59,32,27.72,-139,50,46.91
57,32,8.07,-152,27,4.22
65,3,31.65,-146,3,4.59
59,10,7.12,-158,38,22.71
55,7,18.61,-162,42,18.27
58,48,57.84,-156,42,24.68
62,10,11.02,-146,30,40.08
62,15,10.71,-150,15,40.99
60,54,21.89,-149,27,0.51
61,37,33.69,-149,50,5.69
60,13,32.02,-151,25,15.58
59,27,43.93,-151,29,57.6
56,34,53.99,-132,46,26.18
56,23,24.54,-132,20,54.23
64,42,0.83,-157,7,14.28
62,20,8.84,-150,35,7.29
60,28,54.77,-150,15,58.6
59,20,14.74,-151,19,31.26
59,31,5.46,-139,17,8.32
67,48,23.3,-149,46,40.51
61,23,20.26,-150,0,19.79
64,27,31.48,-164,50,0.24
66,37,24.78,-150,40,15.98
67,11,28.66,-150,19,55.42
64,42,52,-164,0,30.07
63,52,38.76,-145,50,9.45
65,45,51.74,-147,0,52.51
68,37,11.67,-149,27,24.67
69,3,7.97,-149,49,30.23
63,32,59.52,-158,12,9.42
58,0,2.38,-135,5,15.61
56,13,21.81,-133,9,15
63,9,59.09,-146,30,51.9
66,17,54.03,-152,45,21.24
62,57,45.91,-155,35,32.3
66,45,35.46,-151,45,56.02
61,31,4.96,-149,37,30.11
65,5,51.41,-150,18,35.25
65,18,25.78,-149,10,44.34
63,40,47.69,-142,20,57.56
63,40,44.27,-157,42,33.27
64,30,5.35,-165,25,10.04
64,30,39.57,-155,30,36.96
65,0,40.25,-165,0,13.67
59,31,40.84,-135,15,23.37
62,3,22.94,-163,30,20.25
64,45,55.06,-166,0,49.29
64,57,55.23,-148,5,33.78
56,21,24.95,-132,46,20.82
66,41,48.24,-144,43,25.56
63,52,45.97,-145,45,38.13
61,18,28.45,-149,46,56.39
62,55,50.82,-160,40,1.56
59,33,22.96,-160,5,13.25
57,59,28.89,-135,27,3.69
60,52,12.38,-161,37,41.86
60,41,59.06,-161,36,20.2
67,52,40.39,-163,19,27.7
55,55,0.98,-130,1,0.43
62,50,15.36,-156,40,38.48
59,49,30.3,-160,44,10.68
59,18,18.65,-161,0,53.74
67,6,7.28,-158,16,58.55
61,55,56.11,-147,40,0.93
60,24,42.19,-149,42,49.37
61,0,47.34,-149,0,45.01
59,29,0.4,-139,10,35.14
57,4,45.25,-135,22,25.94
56,0,20.89,-132,0,19.94
59,0,25.56,-139,0,8.53
61,15,4.61,-149,34,37.14
60,35,4.69,-144,46,53.02
61,7,24.45,-146,15,35.12
59,17,26.53,-158,37,47.05
66,35,56.76,-159,9,24.65
66,33,45.16,-159,5,8.2
64,44,49.02,-156,58,51.84
66,55,39.66,-162,40,34.26
55,10,22.57,-162,15,22.36
58,42,51.81,-156,41,36.25
63,2,46.9,-145,47,22.6
62,33,20.36,-143,20,14.57
61,22,4.53,-143,30,40.99
61,31,19.85,-143,5,45.16
56,38,1.23,-131,52,37.07
49,56,47.52,-110,47,18.94
49,52,33.09,-111,23,28.72
49,4,42.44,-112,27,18.88
49,48,8.59,-113,37,4.06
49,39,59.73,-114,35,11.9
50,45,37.42,-110,15,36.62
50,34,44.21,-111,51,31.06
50,18,40.29,-112,0,11.55
50,37,40.58,-113,2,24.56
50,30,47.94,-114,34,1.19
51,1,9.48,-110,47,42.4
51,19,31.98,-111,4,10.6
51,47,53.97,-112,39,43.64
51,14,3.71,-113,46,54.33
51,50,7.53,-114,28,53.3
51,6,59.9,-115,6,29.01
51,31,43.63,-116,15,31.73
52,26,15.35,-110,43,40.43
52,12,51.87,-111,4,33.61
52,10,7.42,-112,20,38.93
52,12,19.52,-113,14,35.96
52,1,23.88,-114,29,13.78
52,31,33.91,-115,59,39.96
52,14,47.71,-116,23,21.08
52,44,6.81,-117,40,56.63
53,30,51.02,-110,48,46.6
53,44,26.72,-111,32,56.85
53,20,24.64,-112,46,12.37
53,42,58.42,-113,48,27.39
53,7,54.61,-114,15,34.16
53,47,32.47,-115,15,51.01
